MSA name,Output
1107.ID_412:binShort:4_left_left__REDUCED__28500-28531___28524-28587__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1108.ID_249:binShort:1_left_left__REDUCED__29013-29060___29053-29112__DOTS_1,no significant pairs
1109.ID_489:binShort:2_left_left__REDUCED__772-834___827-882__DOTS_1,no significant pairs
111.ID_328:binShort:1_left_left__REDUCED__12409-12477___12437-12497__DOTS_1,no significant pairs
1110.ID_39:binShort:1_left_left__REDUCED__12156-12204___12197-12267__DOTS_1,no significant pairs
1111.ID_398:binShort:1_left_left__REDUCED__12661-12714___12707-12759__DOTS_1,no significant pairs
1112.ID_413:binShort:3_left_left__REDUCED__12886-12931___12924-12998__DOTS_1,no significant pairs
1113.ID_385:binShort:1_left_left__REDUCED__14264-14326___14319-14366__DOTS_1,no significant pairs
1114.ID_75:binShort:2_left_left__REDUCED__17207-17255___17248-17299__DOTS_1,no significant pairs
1115.ID_620:binShort:3_left_left__REDUCED__18404-18459___18452-18503__DOTS_1,no significant pairs
1116.ID_398:binShort:3_left_left__REDUCED__1063-1101___1094-1148__DOTS_1,no significant pairs
1117.ID_821:binShort:1_left_left__REDUCED__4573-4606___4599-4666__DOTS_1,no significant pairs
1118.ID_303:binShort:4_left_left__REDUCED__6277-6311___6304-6358__DOTS_1,no significant pairs
1119.ID_466:binShort:3_left_left__REDUCED__9959-10012___10005-10048__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
112.ID_292:binShort:2_left_left__REDUCED__7389-7462___7422-7482__DOTS_1,no significant pairs
1120.ID_630:binShort:1_left_left__REDUCED__10115-10183___10176-10224__DOTS_1,no significant pairs
1121.ID_599:binShort:2_left_left__REDUCED__16787-16835___16828-16880__DOTS_1,no significant pairs
1122.ID_547:binShort:2_left_left__REDUCED__21094-21170___21163-21225__DOTS_1,no significant pairs
1123.ID_504:binShort:2_left_left__REDUCED__28425-28465___28458-28500__DOTS_1,no significant pairs
1124.ID_10_left__REDUCED__17443-17500___17494-17571__DOTS_1,no significant pairs
1125.ID_692_left__REDUCED__10321-10384___10378-10440__DOTS_1,no significant pairs
1126.ID_665_left__REDUCED__15916-15996___15990-16049__DOTS_1,no significant pairs
1127.ID_921:binShort:1_left_left__REDUCED__14544-14602___14596-14648__DOTS_1,no significant pairs
1128.ID_703_left__REDUCED__28027-28052___28046-28122__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1129.ID_834_left__REDUCED__22686-22747___22741-22797__DOTS_1,no significant pairs
113.ID_162:binShort:3_left_left__REDUCED__11282-11372___11332-11413__DOTS_1,no significant pairs
1130.ID_852_left__REDUCED__19819-19876___19870-19926__DOTS_1,no significant pairs
1131.ID_682_left__REDUCED__16784-16839___16833-16870__DOTS_1,no significant pairs
1132.ID_832:binShort:3_left_left__REDUCED__20285-20364___20358-20393__DOTS_1,no significant pairs
1133.ID_822_left__REDUCED__28332-28388___28382-28446__DOTS_1,no significant pairs
1134.ID_946_left__REDUCED__1637-1692___1686-1745__DOTS_1,no significant pairs
1135.ID_734:binShort:4_left_left__REDUCED__943-1005___999-1037__DOTS_1,no significant pairs
1136.ID_395:binShort:3_left_left__REDUCED__2366-2415___2409-2457__DOTS_1,no significant pairs
1137.ID_835:binShort:2_left_left__REDUCED__20271-20314___20308-20379__DOTS_1,no significant pairs
1138.ID_532:binShort:1_left_left__REDUCED__6841-6873___6867-6922__DOTS_1,no significant pairs
1139.ID_523:binShort:3_left_left__REDUCED__13100-13150___13144-13244__DOTS_1,no significant pairs
114.ID_482_left__REDUCED__29212-29290___29251-29339__DOTS_1,no significant pairs
1140.ID_685:binShort:2_left_left__REDUCED__16007-16050___16044-16103__DOTS_1,no significant pairs
1141.ID_543:binShort:1_left_left__REDUCED__28992-29044___29038-29106__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1142.ID_768:binShort:3_left_left__REDUCED__592-648___642-717__DOTS_1,no significant pairs
1143.ID_850:binShort:3_left_left__REDUCED__3522-3582___3576-3615__DOTS_1,no significant pairs
1144.ID_462:binShort:2_left_left__REDUCED__11382-11451___11445-11501__DOTS_1,no significant pairs
1145.ID_715:binShort:4_left_left__REDUCED__944-1014___1008-1051__DOTS_1,no significant pairs
1146.ID_336:binShort:1_left_left__REDUCED__1745-1793___1787-1866__DOTS_1,no significant pairs
1147.ID_773:binShort:4_left_left__REDUCED__4850-4886___4880-4922__DOTS_1,no significant pairs
1148.ID_656:binShort:4_left_left__REDUCED__5910-5964___5958-6005__DOTS_1,no significant pairs
1149.ID_749:binShort:3_left_left__REDUCED__18752-18818___18812-18877__DOTS_1,no significant pairs
115.ID_167:binShort:2_left_left__REDUCED__7709-7763___7724-7796__DOTS_1,no significant pairs
1150.ID_825:binShort:3_left_left__REDUCED__20654-20722___20716-20750__DOTS_1,no significant pairs
1151.ID_694:binShort:2_left_left__REDUCED__24261-24313___24307-24360__DOTS_1,no significant pairs
1152.ID_407:binShort:4_left_left__REDUCED__4818-4875___4869-4927__DOTS_1,no significant pairs
1153.ID_610:binShort:1_left_left__REDUCED__10022-10067___10061-10124__DOTS_1,no significant pairs
1154.ID_456:binShort:2_left_left__REDUCED__13586-13615___13609-13662__DOTS_1,no significant pairs
1155.ID_615:binShort:2_left_left__REDUCED__19792-19831___19825-19875__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1156.ID_567:binShort:1_left_left__REDUCED__23784-23816___23810-23873__DOTS_1,no significant pairs
1157.ID_618:binShort:3_left_left__REDUCED__28327-28410___28404-28447__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1158.ID_636:binShort:3_left_left__REDUCED__4068-4121___4115-4155__DOTS_1,no significant pairs
1159.ID_812:binShort:3_left_left__REDUCED__16165-16200___16194-16266__DOTS_1,no significant pairs
116.ID_272:binShort:3_left_left__REDUCED__24285-24350___24311-24374__DOTS_1,no significant pairs
1160.ID_750:binShort:3_left_left__REDUCED__745-794___788-844__DOTS_1,no significant pairs
1161.ID_702:binShort:4_left_left__REDUCED__1420-1481___1475-1535__DOTS_1,no significant pairs
1162.ID_177:binShort:1_left_left__REDUCED__2559-2603___2597-2654__DOTS_1,no significant pairs
1163.ID_576:binShort:4_left_left__REDUCED__4433-4482___4476-4506__DOTS_1,no significant pairs
1164.ID_669:binShort:4_left_left__REDUCED__8620-8683___8677-8738__DOTS_1,no significant pairs
1165.ID_580:binShort:1_left_left__REDUCED__8898-8933___8927-8990__DOTS_1,no significant pairs
1166.ID_530:binShort:3_left_left__REDUCED__9107-9174___9168-9252__DOTS_1,no significant pairs
1167.ID_192:binShort:1_left_left__REDUCED__11742-11812___11806-11853__DOTS_1,no significant pairs
1168.ID_421:binShort:3_left_left__REDUCED__13955-14014___14008-14078__DOTS_1,no significant pairs
1169.ID_451:binShort:3_left_left__REDUCED__15677-15751___15745-15776__DOTS_1,no significant pairs
